,Unnamed: 0,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Hotel Name
9,9,Puerto Asis,CO,0.5133,-76.5007,73.17,98,80,1.79,broken clouds,Ayawaska Hostal
10,10,Butaritari,KI,3.0707,172.7902,80.44,81,19,13.56,few clouds,Isles Sunset Lodge
11,11,Vaini,TO,-21.2,-175.2,84.36,70,75,3.44,broken clouds,Keleti Beach Resort
13,13,Kalmunai,LK,7.4167,81.8167,75.0,81,2,4.97,clear sky,VS Villa
16,16,Kapaa,US,22.0752,-159.319,82.38,74,75,18.41,broken clouds,Sheraton Kauai Coconut Beach Resort
19,19,Ambilobe,MG,-13.2,49.05,75.07,82,95,1.32,overcast clouds,Hôtel & Restaurant DIANA Ambilobe
24,24,Bambous Virieux,MU,-20.3428,57.7575,71.22,88,20,3.44,few clouds,Casa Tia Villa
26,26,Petrolina,BR,-9.3986,-40.5008,75.25,94,0,3.44,moderate rain,JB Hotel
27,27,Atuona,PF,-9.8,-139.0333,77.59,73,39,11.18,scattered clouds,Villa Enata
31,31,Poum,NC,-20.2333,164.0167,80.53,78,56,14.0,broken clouds,
33,33,Karratha,AU,-20.7377,116.8463,83.57,32,95,22.03,overcast clouds,ibis Styles Karratha
34,34,Kununurra,AU,-15.7667,128.7333,89.58,58,40,8.05,scattered clouds,Hotel Kununurra
35,35,Arraial Do Cabo,BR,-22.9661,-42.0278,72.54,90,0,11.12,clear sky,Pousada Porto Praia
36,36,Faanui,PF,-16.4833,-151.75,78.71,73,98,18.07,overcast clouds,Bora-Bora Pearl Beach Resort & Spa
37,37,Port Blair,IN,11.6667,92.75,77.04,88,20,0.0,few clouds,"Welcomhotel By ITC Hotels, Port Blair - Premium Hotel Near the Airport | Idyllic Island Experience Vacation"
38,38,Naze,JP,28.3667,129.4833,74.32,76,32,6.35,scattered clouds,Shishime Hotel
40,40,Boa Vista,BR,2.8197,-60.6733,82.38,69,20,5.75,few clouds,Aipana Plaza Hotel
