,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bardiyah,LY,31.7561,25.0865,67.8,34,86,8.88,overcast clouds
1,Busselton,AU,-33.65,115.3333,68.56,43,0,8.41,clear sky
2,Chakwal,PK,32.9334,72.8585,54.37,50,2,6.2,clear sky
3,Antofagasta,CL,-23.65,-70.4,61.88,85,36,3.69,scattered clouds
4,Bluff,NZ,-46.6,168.3333,58.37,84,100,11.77,light rain
5,Punta Arenas,CL,-53.15,-70.9167,50.11,62,75,19.57,broken clouds
6,Rikitea,PF,-23.1203,-134.9692,66.67,84,100,11.1,moderate rain
7,Tuktoyaktuk,CA,69.4541,-133.0374,21.2,93,100,5.75,overcast clouds
8,Ribeira Grande,PT,38.5167,-28.7,66.78,97,92,8.01,moderate rain
9,Puerto Asis,CO,0.5133,-76.5007,73.17,98,80,1.79,broken clouds
10,Butaritari,KI,3.0707,172.7902,80.44,81,19,13.56,few clouds
11,Vaini,TO,-21.2,-175.2,84.36,70,75,3.44,broken clouds
12,Norman Wells,CA,65.282,-126.8329,21.24,93,75,2.3,broken clouds
13,Kalmunai,LK,7.4167,81.8167,75.0,81,2,4.97,clear sky
14,Narsaq,GL,60.9167,-46.05,28.62,86,100,2.77,overcast clouds
15,Knoxville,US,35.9606,-83.9207,34.66,48,0,4.61,clear sky
16,Kapaa,US,22.0752,-159.319,82.38,74,75,18.41,broken clouds
17,Albany,US,42.6001,-73.9662,25.45,55,61,1.01,broken clouds
18,Vila Franca Do Campo,PT,37.7167,-25.4333,67.19,94,99,11.18,overcast clouds
19,Ambilobe,MG,-13.2,49.05,75.07,82,95,1.32,overcast clouds
20,Cape Town,ZA,-33.9258,18.4232,62.1,73,0,11.99,clear sky
21,Nanae,JP,41.8833,140.6833,57.43,82,75,3.44,broken clouds
22,Mar Del Plata,AR,-38.0023,-57.5575,59.02,98,100,11.99,overcast clouds
23,Puerto Ayora,EC,-0.7393,-90.3518,68.56,97,100,4.0,overcast clouds
24,Bambous Virieux,MU,-20.3428,57.7575,71.22,88,20,3.44,few clouds
25,Hermanus,ZA,-34.4187,19.2345,53.8,84,29,5.28,scattered clouds
26,Petrolina,BR,-9.3986,-40.5008,75.25,94,0,3.44,moderate rain
27,Atuona,PF,-9.8,-139.0333,77.59,73,39,11.18,scattered clouds
28,Nagina,IN,29.45,78.45,58.96,64,6,3.11,clear sky
29,Ponta Do Sol,PT,32.6667,-17.1,65.03,69,19,4.56,few clouds
30,Camargo,MX,27.6667,-105.1667,47.37,70,0,5.37,clear sky
31,Poum,NC,-20.2333,164.0167,80.53,78,56,14.0,broken clouds
32,Maldonado,UY,-34.6667,-54.9167,66.22,98,100,8.32,moderate rain
33,Karratha,AU,-20.7377,116.8463,83.57,32,95,22.03,overcast clouds
34,Kununurra,AU,-15.7667,128.7333,89.58,58,40,8.05,scattered clouds
35,Arraial Do Cabo,BR,-22.9661,-42.0278,72.54,90,0,11.12,clear sky
36,Faanui,PF,-16.4833,-151.75,78.71,73,98,18.07,overcast clouds
37,Port Blair,IN,11.6667,92.75,77.04,88,20,0.0,few clouds
38,Naze,JP,28.3667,129.4833,74.32,76,32,6.35,scattered clouds
39,Zhezkazgan,KZ,47.8043,67.7144,30.18,100,100,6.71,light snow
40,Boa Vista,BR,2.8197,-60.6733,82.38,69,20,5.75,few clouds
41,Kulhudhuffushi,MV,6.6221,73.07,80.11,78,88,12.73,overcast clouds
42,Nikolskoye,RU,59.7035,30.7861,22.91,95,15,3.31,few clouds
43,Nanortalik,GL,60.1432,-45.2371,29.41,84,100,10.45,overcast clouds
44,Tasiilaq,GL,65.6145,-37.6368,35.83,81,100,15.9,overcast clouds
45,Iqaluit,CA,63.7506,-68.5145,8.33,78,20,3.44,few clouds
46,Mehamn,NO,71.0357,27.8492,37.35,87,100,8.05,overcast clouds
47,Ushuaia,AR,-54.8,-68.3,46.06,71,40,3.44,scattered clouds
48,Kelvington,CA,52.1667,-103.5343,17.98,90,18,10.27,few clouds
49,Thompson,CA,55.7435,-97.8558,21.36,93,100,6.91,overcast clouds
50,Coihaique,CL,-45.5752,-72.0662,48.81,57,0,3.44,clear sky
51,Mahebourg,MU,-20.4081,57.7,71.26,88,20,3.44,few clouds
52,Lengshuitan,CN,26.4111,111.5956,69.85,70,71,1.39,broken clouds
53,Port Elizabeth,ZA,-33.918,25.5701,55.69,94,0,6.91,clear sky
54,Leopold,AU,-38.1833,144.4667,53.26,77,40,25.32,light intensity shower rain
55,Tiksi,RU,71.6872,128.8694,-17.1,100,91,3.04,overcast clouds
56,Pak Phanang,TH,8.3511,100.202,82.42,79,100,5.68,overcast clouds
57,Olinda,BR,-8.0089,-34.8553,80.33,65,40,8.05,scattered clouds
58,Leningradskiy,RU,69.3833,178.4167,-24.84,95,18,5.64,few clouds
59,Tuatapere,NZ,-46.1333,167.6833,61.68,82,100,1.5,light rain
60,Nizhniy Baskunchak,RU,48.2198,46.8311,42.24,77,100,5.14,overcast clouds
61,Saint George,US,37.1041,-113.5841,48.79,33,0,0.0,clear sky
62,Chuy,UY,-33.6971,-53.4616,67.57,86,100,11.45,overcast clouds
63,Henties Bay,NA,-22.116,14.2845,61.09,87,100,4.81,overcast clouds
64,Chokurdakh,RU,70.6333,147.9167,-36.54,100,91,2.98,overcast clouds
65,Hilo,US,19.7297,-155.09,79.25,80,20,9.22,light rain
66,Fairbanks,US,64.8378,-147.7164,19.98,88,75,0.0,broken clouds
67,Olafsvik,IS,64.8945,-23.7142,42.71,74,59,14.2,broken clouds
68,Bathsheba,BB,13.2167,-59.5167,79.41,83,20,17.27,few clouds
69,Doctor Juan Leon Mallorquin,PY,-25.4,-55.2667,78.53,77,100,4.36,overcast clouds
70,Northam,GB,51.0333,-4.2167,47.61,92,100,13.67,overcast clouds
71,Tocantins,BR,-10.5,-48.0,77.29,95,87,0.87,light rain
72,Cervo,ES,43.6702,-7.4101,61.92,87,100,25.32,overcast clouds
73,Bengkulu,ID,-3.8004,102.2655,80.17,75,37,5.17,scattered clouds
74,Langarud,IR,37.197,50.1535,60.06,52,0,6.13,clear sky
75,Vysokogornyy,RU,50.1167,139.15,21.88,69,49,13.4,scattered clouds
76,Khatanga,RU,71.9667,102.5,-33.92,100,68,4.41,broken clouds
77,Maine-Soroa,NE,13.2114,12.0241,68.54,20,8,9.28,clear sky
78,Deputatskiy,RU,69.3,139.9,-22.76,92,87,1.5,overcast clouds
79,Yumen,CN,40.2833,97.2,39.45,24,100,7.29,overcast clouds
80,Bredasdorp,ZA,-34.5322,20.0403,55.11,88,3,1.12,clear sky
81,Barrow,US,71.2906,-156.7887,23.02,74,100,17.27,light snow
82,Fortuna,US,40.5982,-124.1573,49.12,85,0,0.0,clear sky
83,Castro,BR,-24.7911,-50.0119,60.98,97,33,9.51,scattered clouds
84,Huanan,CN,46.2167,130.5167,28.6,40,57,15.37,broken clouds
85,Avarua,CK,-21.2078,-159.775,77.05,57,75,10.36,broken clouds
