City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hermanus,ZA,2022-11-14 00:16:48,-34.4187,19.2345,52.81,86,10,7.74
1,Kaeo,NZ,2022-11-14 00:16:48,-35.1,173.7833,71.33,66,2,5.21
2,Jamestown,US,2022-11-14 00:12:23,42.097,-79.2353,35.19,76,100,11.5
3,Dryden,CA,2022-11-14 00:16:49,49.7833,-92.7503,19.69,86,100,3.44
4,Georgetown,MY,2022-11-14 00:15:19,5.4112,100.3354,80.24,92,20,0.0
5,Cape Town,ZA,2022-11-14 00:12:52,-33.9258,18.4232,62.91,78,16,11.99
6,Sao Joao Da Barra,BR,2022-11-14 00:16:50,-21.6403,-41.0511,75.06,89,84,16.89
7,Ca Mau,VN,2022-11-14 00:16:50,9.1769,105.15,77.43,93,100,7.63
8,Isangel,VU,2022-11-14 00:16:51,-19.55,169.2667,84.31,84,40,3.44
9,Cabo San Lucas,MX,2022-11-14 00:16:51,22.8909,-109.9124,79.9,64,42,1.01
10,Kodiak,US,2022-11-14 00:16:52,57.79,-152.4072,42.31,70,75,4.61
11,Port Elizabeth,ZA,2022-11-14 00:16:53,-33.918,25.5701,57.49,82,0,8.05
12,Nata,PA,2022-11-14 00:16:53,8.3333,-80.5167,73.87,96,100,3.31
13,Dingle,PH,2022-11-14 00:15:14,10.9995,122.6711,81.09,85,83,10.94
14,Fairbanks,US,2022-11-14 00:14:20,64.8378,-147.7164,28.4,81,0,8.05
15,Edewecht,DE,2022-11-14 00:16:54,53.1333,7.9833,46.06,91,35,9.44
16,Roald,NO,2022-11-14 00:16:55,62.5833,6.1333,53.76,93,71,5.75
17,Busselton,AU,2022-11-14 00:16:55,-33.65,115.3333,58.33,55,0,12.08
18,Atuona,PF,2022-11-14 00:16:56,-9.8,-139.0333,77.83,75,1,16.67
19,Mataura,NZ,2022-11-14 00:16:56,-46.1927,168.8643,58.48,47,57,3.76
20,Lata,PT,2022-11-14 00:16:56,40.1629,-8.3327,60.93,97,98,5.12
21,Los Llanos De Aridane,ES,2022-11-14 00:16:57,28.6585,-17.9182,66.13,60,20,8.05
22,Ushuaia,AR,2022-11-14 00:15:11,-54.8,-68.3,55.06,50,20,1.14
23,Grootfontein,NA,2022-11-14 00:16:58,-19.5667,18.1167,65.77,34,2,3.44
24,Saint-Georges,GD,2022-11-14 00:12:30,12.0564,-61.7485,79.27,83,19,12.86
25,Carnarvon,AU,2022-11-14 00:16:58,-24.8667,113.6333,73.47,29,0,11.18
26,Kavieng,PG,2022-11-14 00:16:59,-2.5744,150.7967,85.68,67,99,14.65
